City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,Kruisfontein,-34.0033,24.7314,63.84,76,14,10.27,ZA,1707345257
156,Kingston,17.997,-76.7936,77.95,65,20,21.85,JM,1707345372
157,Bubaque,11.2833,-15.8333,79.48,77,93,13.47,GW,1707345372
158,Rumphi,-11.0186,33.8575,64.63,94,62,1.12,MW,1707345373
159,Bredasdorp,-34.5322,20.0403,65.37,78,5,8.93,ZA,1707345374
160,College,64.8569,-147.8028,17.2,80,75,0.0,US,1707345374
161,Capâo Bonito,-24.0058,-48.3494,71.49,83,70,5.06,BR,1707345374
162,Kavieng,-2.5744,150.7967,80.47,87,100,22.79,PG,1707345212
163,Mumbwa,-14.9783,27.0619,64.4,94,100,2.66,ZM,1707345375
164,Callao,-12.0667,-77.15,82.69,61,0,13.8,PE,1707345376
165,Tabou,4.423,-7.3528,80.74,84,12,6.6,CI,1707345376
166,Bueno Brandão,-22.4408,-46.3508,66.47,85,100,3.06,BR,1707345377
167,Algona,43.07,-94.233,55.13,62,0,21.85,US,1707345378
168,Tiksi,71.6872,128.8694,-6.03,99,100,4.83,RU,1707345378
169,Las Lomitas,-24.7096,-60.593,82.81,63,90,5.84,AR,1707345379
170,Undurkhaan,47.3194,110.6556,-14.67,99,87,3.76,MN,1707345379
171,Cherëmushki,52.8356,91.3944,3.47,88,52,5.14,RU,1707345380
172,Carnarvon,-24.8667,113.6333,80.31,56,0,3.78,AU,1707345380
173,Gwanda,-20.9333,29.0,75.25,44,4,7.23,ZW,1707345381
174,Oromocto,45.8351,-66.4792,28.54,67,20,4.61,CA,1707345381
175,Auki,-8.7676,160.7034,82.99,81,100,11.25,SB,1707345381
176,Tavda,58.0425,65.2726,18.7,92,69,7.0,RU,1707345382
177,Mogador,31.5125,-9.77,56.7,50,40,2.3,MA,1707345382
178,Gulf Shores,30.246,-87.7008,60.85,66,0,3.0,US,1707345383
179,Qaqortoq,60.7167,-46.0333,17.53,76,100,4.47,GL,1707345384
180,Oranjemund,-28.55,16.4333,64.72,87,2,7.76,NA,1707345385
181,Enewetak,11.3474,162.3373,80.04,80,100,19.37,MH,1707345385
182,Caromatan,7.7959,123.7145,76.84,88,100,1.92,PH,1707345386
183,Ketchikan,55.3422,-131.6461,37.87,60,75,6.91,US,1707345386
184,Hammerfest,70.6634,23.6821,12.65,67,0,13.8,NO,1707345387
185,Hanzhong,33.0728,107.0303,34.79,75,71,1.01,CN,1707345387
186,Shagonar,51.5333,92.8,-18.94,99,97,1.77,RU,1707345388
187,Waddān,29.1614,16.139,56.79,31,5,4.21,LY,1707345388
188,Sundargarh,22.1167,84.0333,61.34,37,1,5.59,IN,1707345389
189,Vernon,50.2581,-119.2691,39.92,88,100,3.44,CA,1707345331
190,Labytnangi,66.6572,66.4183,22.37,94,100,12.86,RU,1707345390
191,Savalou,7.9281,1.9756,84.16,18,7,5.21,BJ,1707345391
192,Chonchi,-42.6128,-73.8092,62.11,62,83,2.26,CL,1707345391
193,Kuanda,56.3161,116.0806,-0.47,99,99,1.14,RU,1707345392
194,Antsiranana,-12.2787,49.2917,77.68,88,96,4.65,MG,1707345392
195,Naze,28.3667,129.4833,52.72,79,100,8.75,JP,1707345393
196,La Ronge,55.1001,-105.2842,16.05,86,100,9.22,CA,1707345394
197,Visakhapatnam,17.69,83.2093,76.89,100,20,2.3,IN,1707345394
198,Isiro,2.7739,27.616,67.48,46,9,1.95,CD,1707345395
199,Dwārka,22.2394,68.9678,71.96,54,100,10.56,IN,1707345395
200,Miquelon,47.0975,-56.3814,30.2,75,31,13.51,PM,1707345396
201,Novofedorivka,46.1713,32.3178,44.62,79,5,12.97,UA,1707345396
202,Necoclí,8.4234,-76.786,77.72,87,49,9.8,CO,1707345396
203,Tobruk,32.0836,23.9764,59.83,60,43,6.51,LY,1707345397
204,Udachny,66.4167,112.4,-21.28,100,100,2.59,RU,1707345121
205,Vadsø,70.0744,29.7487,8.76,85,75,9.22,NO,1707345398
206,Gadzhiyevo,69.2551,33.3362,-10.89,100,95,8.01,RU,1707345195
207,Sudak,44.85,34.9667,50.05,74,74,14.16,UA,1707345193
208,Minas de Marcona,-15.2119,-75.1103,68.81,88,89,11.77,PE,1707345400
209,Marsh Harbour,26.5412,-77.0636,69.91,60,46,21.18,BS,1707345400
210,Muravlenko,63.7898,74.523,18.12,89,99,16.31,RU,1707345401
211,East London,-33.0153,27.9116,68.63,61,0,8.14,ZA,1707345225
212,Rémire-Montjoly,4.9167,-52.2667,82.44,78,40,6.91,GF,1707345204
213,Manavālakurichi,8.1333,77.3,74.23,76,62,6.96,IN,1707345402
214,Nova Sintra,14.8667,-24.7167,70.99,75,0,10.8,CV,1707345402
215,Atafu Village,-8.5421,-172.5159,82.71,81,100,18.01,TK,1707345403
216,Tual,-5.6667,132.75,79.92,87,100,19.13,ID,1707345403
217,Uturoa,-16.7333,-151.4333,82.67,87,47,31.61,PF,1707345404
218,Willis,30.4249,-95.4799,69.15,70,75,13.8,US,1707345404
219,Inverloch,-38.6333,145.7167,66.06,62,45,5.26,AU,1707345327
220,Oyama,36.3,139.8,38.59,56,53,3.0,JP,1707345405
221,Lagoa,39.05,-27.9833,60.71,80,81,31.32,PT,1707345405
222,Patan,27.6667,85.3333,41.38,87,20,0.0,NP,1707345406
223,Touros,-5.1989,-35.4608,81.39,79,87,12.12,BR,1707345305
224,Sarkand,45.41,79.9186,30.04,93,96,2.35,KZ,1707345407
225,Knottsville,37.7717,-86.9042,60.42,65,73,5.37,US,1707345407
226,Inírida,3.8653,-67.9239,81.5,79,76,0.94,CO,1707345408
227,Sinabang,2.4803,96.3801,79.9,80,98,1.34,ID,1707345408
228,Māngrol,21.1167,70.1167,70.32,52,88,11.83,IN,1707345408
229,Coquimbo,-29.9533,-71.3436,69.53,77,40,11.5,CL,1707345409
230,St. John's,47.5649,-52.7093,29.79,86,100,19.57,CA,1707345127
231,Margate,51.3813,1.3862,42.69,81,100,1.99,GB,1707345223
232,Badger,64.8,-147.5333,17.13,81,75,0.0,US,1707345149
233,Belebey,54.1167,54.1167,8.01,97,100,11.16,RU,1707345411
234,Puerto Ayacucho,5.6639,-67.6236,80.55,82,100,3.85,VE,1707345128
235,Castillos,-34.1667,-53.8333,74.59,75,37,10.33,UY,1707345411
236,Kachkanar,58.7,59.4948,17.08,96,100,5.01,RU,1707345412
237,Puerto Aisén,-45.4,-72.7,52.32,86,97,5.91,CL,1707345412
238,Mar del Plata,-38.0023,-57.5575,77.02,73,0,3.44,AR,1707345413
239,East Falmouth,41.5784,-70.5586,36.28,77,75,13.8,US,1707345143
240,Xining,36.6167,101.7667,12.22,92,94,3.04,CN,1707345413
241,Vila Franca do Campo,37.7167,-25.4333,63.01,95,100,14.34,PT,1707345414
242,Petropavlovsk-Kamchatskiy,53.0452,158.6483,5.59,66,20,6.71,RU,1707345414
243,Lubang,13.8584,120.124,78.51,78,7,11.45,PH,1707345415
244,Belsand,26.45,85.4,47.05,50,87,8.32,IN,1707345416
245,Trondheim,63.4305,10.3951,26.69,75,94,1.01,NO,1707345406
